token,numEn,numDe
blr,0,0
bls,0,1
blt,0,0
blu,1947,1085
blv,0,0
blw,0,0
blx,0,0
bly,922,8
blz,0,0
bma,82,210
bmb,0,0
bmc,0,0
bmd,0,0
bme,52,95
bmf,0,0
bmg,0,0
bmh,0,0
bmi,101,72
bmj,0,0
bmk,0,0
bml,0,0
bmm,0,0
bmn,0,0
bmo,41,76
bmp,0,0
bmq,0,0
bmr,0,0
bms,0,0
bmt,0,0
bmu,16,25
bmv,0,0
bmw,0,0
bmx,0,0
bmy,0,0
bmz,0,0
bna,12,198
bnb,1,1
bnc,0,0
bnd,0,0
bne,33,261
bnf,0,0
bng,0,0
bnh,0,0
bni,14,570
bnj,0,0
bnk,0,0
bnl,0,0
bnm,0,0
bnn,0,0
bno,80,28
bnp,0,0
bnq,0,0
bnr,0,0
bns,0,0
bnt,0,0
bnu,3,54
bnv,0,0
bnw,0,0
bnx,0,0
bny,0,0
bnz,0,0
boa,1632,147
bob,139,19
boc,89,296
bod,1185,416
boe,49,50
bof,12,14
bog,273,575
boh,57,617
boi,295,41
boj,4,21
bok,47,39
bol,1151,702
bom,588,245
bon,2451,411
boo,2423,242
bop,65,45
boq,1,1
bor,2716,1057
bos,305,189
bot,1255,1149
bou,2507,93
bov,183,32
bow,684,23
box,1105,208
boy,413,43
boz,9,42
bpa,7,36
bpb,0,0
bpc,0,0
bpd,0,0
bpe,2,8
bpf,0,13
bpg,0,0
bph,5,7
bpi,5,13
bpj,0,0
bpk,0,0
bpl,6,31
bpm,0,0
bpn,0,1
bpo,8,16
bpp,0,0
bpq,0,0
bpr,23,53
bps,0,1
bpt,0,0
bpu,2,22
bpv,0,0
bpw,0,0
bpx,0,0
bpy,0,0
bpz,0,0
bqa,0,0
bqb,0,0
bqc,0,0
bqd,0,0
bqe,0,0
bqf,0,0
bqg,0,0
bqh,0,0
bqi,0,0
bqj,0,0
bqk,0,0
bql,0,0
bqm,0,0
bqn,0,0
bqo,0,0
bqp,0,0
bqq,0,0
bqr,0,0
bqs,0,0
bqt,0,0
bqu,0,20
bqv,0,0
bqw,0,0
bqx,0,0
bqy,0,0
bqz,0,0
bra,4630,3192
brb,0,0
brc,0,0
brd,0,0
bre,4190,3080
brf,0,0
brg,0,0
brh,0,0
bri,3455,3285
brj,0,0
brk,0,0
brl,0,0
brm,0,0
brn,0,0
bro,3618,803
brp,0,0
brq,0,0
brr,0,0
brs,2,2
brt,0,0
bru,859,1527
brv,0,0
brw,0,0
brx,0,0
bry,158,101
brz,3,1
bsa,6,453
bsb,9,113
bsc,309,2100
bsd,0,44
bse,625,706
bsf,0,110
bsg,0,80
bsh,15,37
bsi,250,355
bsj,0,4
bsk,4,116
bsl,11,73
bsm,5,84
bsn,0,17
bso,673,534
bsp,23,350
bsq,11,9
bsr,0,71
bss,0,179
bst,1042,3742
bsu,43,101
bsv,0,74
bsw,3,65
bsx,0,0
bsy,7,24
bsz,0,132
bta,170,203
btb,0,1
btc,0,0
btd,0,0
bte,69,628
btf,49,0
btg,0,1
bth,10,36
bti,24,116
btj,0,0
btk,0,0
btl,37,1
btm,0,0
btn,0,0
bto,71,39
btp,0,1
btq,0,0
btr,64,347
bts,151,16
btt,0,1
btu,46,61
btv,0,0
btw,0,2
btx,0,0
bty,4,23
btz,0,1
bua,2,3
bub,187,42
buc,435,1281
bud,447,90
bue,7,5
buf,374,24
bug,505,43
buh,1,10
bui,1207,12
buj,1,1
buk,27,32
bul,1929,458
bum,367,127
bun,676,3082
buo,76,0
bup,8,2
buq,0,0
bur,2024,775
bus,2714,799
but,2478,313
buu,0,0
buv,2,1
buw,0,1
bux,5,5
buy,409,8
buz,109,6
bva,3,8
bvb,0,0
bvc,0,0
bvd,0,0
bve,20,128
bvf,0,0
bvg,0,0
bvh,0,0
bvi,39,4
bvj,0,0
bvk,0,0
bvl,0,0
bvm,0,0
bvn,0,0
bvo,9,24
bvp,0,0
bvq,0,0
bvr,1,1
bvs,1,0
bvt,0,0
bvu,0,1
bvv,0,0
bvw,0,0
bvx,0,0
bvy,0,0
bvz,0,0
bwa,29,239
bwb,0,0
bwc,0,0
bwd,0,0
bwe,31,926
bwf,0,0
bwg,0,0
bwh,15,0
bwi,5,144
bwj,0,0
bwk,0,0
bwl,0,0
bwm,0,0
bwn,0,0
bwo,22,9
bwp,0,0
bwq,0,0
bwr,21,7
bws,0,0
bwt,0,0
bwu,0,57
bwv,0,0
bww,0,0
bwx,0,0
bwy,0,0
bwz,0,0
bxa,0,0
bxb,0,0
bxc,0,0
bxd,0,0
bxe,0,0
bxf,0,0
bxg,0,0
bxh,0,0
bxi,1,1
bxj,0,0
bxk,0,0
bxl,0,0
bxm,0,0
bxn,0,0
bxo,0,0
bxp,0,0
bxq,0,0
bxr,0,0
bxs,0,0
bxt,0,0
bxu,0,0
bxv,0,0
bxw,0,0
bxx,0,0
bxy,0,0
bxz,0,0
bya,24,10
byb,0,17
byc,7,4
byd,4,4
bye,44,12
byf,1,9
byg,11,8
byh,5,6
byi,27,16
byj,0,2
byk,4,11
byl,46,49
bym,1,7
byn,2,8
byo,5,4
byp,53,23
byq,0,0
byr,35,35
bys,139,95
byt,78,55
byu,1,1
byv,0,1
byw,8,7
byx,0,0
byy,0,0
byz,3,20
bza,0,52
bzb,0,0
bzc,0,0
bzd,0,0
bze,2,144
bzf,0,0
bzg,0,0
bzh,0,0
bzi,1,146
bzj,0,0
bzk,0,0
bzl,0,0
bzm,0,0
bzn,0,0
bzo,0,14
bzp,0,0
bzq,0,0
bzr,0,0
bzs,0,0
bzt,0,0
bzu,0,199
bzv,0,0
bzw,0,50
bzx,0,0
bzy,1,5
bzz,0,0
caa,1,2
cab,1360,15
cac,320,45
cad,667,37
cae,141,11
caf,118,17
cag,167,35
cah,35,4
cai,120,31
caj,17,5
cak,317,4
cal,12951,180
cam,1285,63
can,5279,302
cao,29,7
cap,3552,73
caq,45,0
car,7672,338
cas,3316,92
cat,9532,156
cau,894,53
cav,621,23
caw,46,3
cax,1,1
cay,96,9
caz,7,4
cba,1,0
cbb,0,0
cbc,0,0
cbd,0,0
cbe,2,3
cbf,0,0
cbg,0,0
cbh,0,0
cbi,4,1
cbj,0,0
cbk,0,0
cbl,0,0
cbm,0,0
cbn,0,0
cbo,1,2
cbp,0,0
cbq,0,0
cbr,0,0
cbs,0,0
cbt,0,0
cbu,1,2
cbv,0,0
cbw,0,0
cbx,0,0
cby,0,0
cbz,0,0
cca,375,50
ccb,0,0
ccc,0,1
ccd,0,0
cce,2130,30
ccf,0,0
ccg,0,0
cch,107,100
cci,672,65
ccj,0,0
cck,0,0
ccl,233,5
ccm,0,0
ccn,0,0
cco,2253,42
ccp,0,0
ccq,0,0
ccr,174,2
ccs,0,0
cct,0,0
ccu,972,22
ccv,0,0
ccw,0,0
ccx,0,0
ccy,38,1
ccz,0,0
cda,0,0
cdb,0,0
cdc,0,0
cdd,0,0
cde,1,0
cdf,0,0
cdg,0,0
cdh,0,0
cdi,0,0
cdj,0,0
cdk,0,0
cdl,0,0
cdm,0,0
cdn,0,0
cdo,20,3
cdp,0,0
cdq,0,0
cdr,0,0
cds,0,0
cdt,0,0
cdu,0,0
cdv,0,0
cdw,0,0
cdx,0,0
cdy,5,3
cdz,0,0
cea,534,29
ceb,79,30
cec,54,5
ced,2225,44
cee,315,232
cef,147,11
ceg,13,9
ceh,19,8
cei,966,28
cej,1,3
cek,20,18
cel,2722,114
cem,1120,43
cen,5143,321
ceo,161,9
cep,2512,84
ceq,2,1
cer,3655,238
ces,6283,95
cet,413,244
ceu,87,13
cev,10,7
cew,55,6
cex,1,0
cey,12,5
cez,1,5
cfa,2,2
cfb,0,0
cfc,0,0
cfd,0,0
cfe,0,0
cff,0,0
cfg,0,0
cfh,0,0
cfi,0,1
cfj,0,0
cfk,0,0
cfl,0,1
cfm,0,0
cfn,0,0
cfo,0,1
cfp,0,0
cfq,0,0
cfr,1,0
cfs,0,0
cft,0,0
cfu,1,0
cfv,0,0
cfw,0,0
cfx,0,0
cfy,0,0
cfz,0,0
cga,0,0
cgb,0,0
cgc,0,0
cgd,0,0
cge,1,1
cgf,2,2
cgg,0,0
cgh,0,0
cgi,2,3
cgj,0,0
cgk,0,0
cgl,0,0
cgm,0,0
cgn,0,0
cgo,1,2
cgp,0,0
cgq,0,0
cgr,10,4
cgs,0,0
cgt,0,0
cgu,1,1
cgv,0,0
cgw,0,0
cgx,0,0
cgy,1,0
cgz,0,0
cha,9827,15354
chb,97,1744
chc,27,90
chd,51,600
che,8527,68704
chf,78,1505
chg,33,1545
chh,42,960
chi,7138,11525
chj,0,52
chk,28,3369
chl,732,15192
chm,430,4562
chn,1703,11421
cho,4039,2987
chp,34,747
chq,0,45
chr,1286,8355
chs,125,10066
cht,215,34192
chu,1113,10319
chv,3,548
chw,165,12663
chx,0,0
chy,479,205
chz,4,732
cia,5215,89
cib,111,3
cic,252,18
cid,2181,56
cie,3355,138
cif,865,18
cig,169,3
cih,0,0
cii,8,5
cij,1,1
cik,1,1
cil,1585,75
cim,264,12
cin,2829,319
cio,891,47
cip,1804,38
ciq,19,0
cir,1623,28
cis,1846,93
cit,2798,141
ciu,162,144
civ,411,7
ciw,0,0
